#GCMS data for experiment recorded on 191019,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); ant injured from the beginning(AI); beetle injured/dessicates early(BI); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.435,7.41,7.455,TIC,4366307,96.52,4915381,97.26,0.89,L,N
L,1,D50C24,9.499,9.475,9.525,TIC,116640,2.58,118917,2.35,0.98,L,N
L,1,D62C30,12.35,12.33,12.375,TIC,40989,0.91,19731,0.39,2.08,L,N
S,1,C18,7.436,7.405,7.455,TIC,4504869,99.47,5044270,99.6,0.89,L,N
S,1,D50C24,9.499,9.475,9.525,TIC,19246,0.42,17906,0.35,1.07,L,N
S,1,D62C30,12.353,12.33,12.375,TIC,4961,0.11,2107,0.04,2.35,L,N
L,2,C18,7.435,7.405,7.46,TIC,4923402,94.23,5468898,95.06,0.9,L,N
L,2,D50C24,9.499,9.475,9.525,TIC,236418,4.52,254030,4.42,0.93,L,N
L,2,D62C30,12.352,12.33,12.375,TIC,65162,1.25,30050,0.52,2.17,L,N
S,2,C18,7.435,7.41,7.455,TIC,4824828,99.11,4967129,99.32,0.97,L,N
S,2,D50C24,9.498,9.475,9.525,TIC,31679,0.65,28258,0.57,1.12,L,N
S,2,D62C30,12.349,12.33,12.375,TIC,11469,0.24,5905,0.12,1.94,L,N
L,3,C18,7.436,7.405,7.455,TIC,4945356,99.83,5199836,99.81,0.95,U,N
L,3,D50C24,9.525,9.475,9.525,TIC,426,0.01,559,0.01,0.76,U,N
L,3,D62C30,12.375,12.33,12.375,TIC,8072,0.16,9265,0.18,0.87,U,N
S,3,C18,7.436,7.41,7.46,TIC,4943987,99.94,5317138,99.95,0.93,U,N
S,3,D50C24,9.525,9.475,9.525,TIC,1542,0.03,1707,0.03,0.9,U,N
S,3,D62C30,12.375,12.33,12.375,TIC,1477,0.03,1010,0.02,1.46,U,N
L,4,C18,7.435,7.405,7.455,TIC,5072148,94.29,5405507,95.36,0.94,L,N
L,4,D50C24,9.498,9.475,9.525,TIC,218158,4.06,220614,3.89,0.99,L,N
L,4,D62C30,12.348,12.33,12.375,TIC,89143,1.66,42180,0.74,2.11,L,N
S,4,C18,7.435,7.41,7.455,TIC,4911251,99.46,5458814,99.64,0.9,L,N
S,4,D50C24,9.498,9.475,9.525,TIC,20260,0.41,16393,0.3,1.24,L,N
S,4,D62C30,12.35,12.33,12.375,TIC,6392,0.13,3070,0.06,2.08,L,N
L,5,C18,7.435,7.41,7.455,TIC,4937941,99.84,5477867,99.85,0.9,U,N
L,5,D50C24,9.525,9.475,9.525,TIC,198,0,232,0,0.85,U,N
L,5,D62C30,12.375,12.33,12.375,TIC,7688,0.16,7946,0.14,0.97,U,N
S,5,C18,7.434,7.405,7.455,TIC,4776466,99.93,5173662,99.93,0.92,U,N
S,5,D50C24,9.525,9.475,9.525,TIC,2288,0.05,2516,0.05,0.91,U,N
S,5,D62C30,12.375,12.33,12.375,TIC,1214,0.03,876,0.02,1.39,U,N
L,6,C18,7.434,7.405,7.455,TIC,5094844,93.78,5317800,94.89,0.96,L,N
L,6,D50C24,9.497,9.475,9.525,TIC,261737,4.82,251507,4.49,1.04,L,N
L,6,D62C30,12.349,12.33,12.375,TIC,76358,1.41,34902,0.62,2.19,L,N
S,6,C18,7.433,7.405,7.45,TIC,4804078,99.31,5336821,99.52,0.9,L,N
S,6,D50C24,9.495,9.475,9.525,TIC,26991,0.56,22924,0.43,1.18,L,N
S,6,D62C30,12.348,12.33,12.375,TIC,6536,0.14,2840,0.05,2.3,L,N
L,7,C18,7.433,7.405,7.455,TIC,4595248,97.24,5053410,97.98,0.91,L,N
L,7,D50C24,9.495,9.475,9.525,TIC,86652,1.83,83876,1.63,1.03,L,N
L,7,D62C30,12.346,12.33,12.375,TIC,43890,0.93,20351,0.39,2.16,L,N
S,7,C18,7.433,7.405,7.455,TIC,4866640,99.68,5108808,99.78,0.95,L,N
S,7,D50C24,9.495,9.475,9.525,TIC,11670,0.24,9891,0.19,1.18,L,N
S,7,D62C30,12.343,12.33,12.375,TIC,4010,0.08,1508,0.03,2.66,L,N
L,8,C18,7.433,7.405,7.45,TIC,4724787,99.78,5056847,99.79,0.93,U,N
L,8,D50C24,9.525,9.475,9.525,TIC,522,0.01,303,0.01,1.72,U,N
L,8,D62C30,12.375,12.33,12.375,TIC,9858,0.21,10560,0.21,0.93,U,N
S,8,C18,7.434,7.405,7.455,TIC,4824511,99.94,5266940,99.94,0.92,U,N
S,8,D50C24,9.525,9.475,9.525,TIC,1333,0.03,1873,0.04,0.71,U,N
S,8,D62C30,12.375,12.33,12.375,TIC,1433,0.03,1178,0.02,1.22,U,N
