#GCMS data for experiment recorded on 191022,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); ant injured from the beginning(AI); beetle injured/dessicates early(BI); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.435,7.405,7.455,TIC,3391125,82.38,4394036,87.48,0.77,L,A
L,1,D50C24,9.498,9.475,9.525,TIC,502605,12.21,506698,10.09,0.99,L,A
L,1,D62C30,12.346,12.325,12.37,TIC,222936,5.42,122349,2.44,1.82,L,A
P,1,C18,7.434,7.405,7.455,TIC,3619922,99.2,4454220,99.45,0.81,L,A
P,1,D50C24,9.498,9.475,9.525,TIC,16951,0.46,13019,0.29,1.3,L,A
P,1,D62C30,12.37,12.33,12.37,TIC,12207,0.33,11690,0.26,1.04,L,A
L,2,C18,7.434,7.41,7.45,TIC,3785710,99.52,4922803,99.67,0.77,U,N
L,2,D50C24,9.525,9.475,9.525,TIC,1390,0.04,1452,0.03,0.96,U,N
L,2,D62C30,12.37,12.33,12.37,TIC,16718,0.44,15063,0.3,1.11,U,N
P,2,C18,7.435,7.405,7.46,TIC,3754404,99.69,4598597,99.7,0.82,U,N
P,2,D50C24,9.525,9.475,9.525,TIC,4898,0.13,4749,0.1,1.03,U,N
P,2,D62C30,12.365,12.32,12.365,TIC,6888,0.18,8914,0.19,0.77,U,N
L,3,C18,7.434,7.405,7.455,TIC,3839876,99.68,4826128,99.68,0.8,U,BI
L,3,D50C24,9.525,9.475,9.525,TIC,387,0.01,389,0.01,0.99,U,BI
L,3,D62C30,12.325,12.32,12.365,TIC,11976,0.31,15271,0.32,0.78,U,BI
P,3,C18,7.434,7.405,7.46,TIC,3897024,99.8,4762250,99.77,0.82,U,BI
P,3,D50C24,9.525,9.475,9.525,TIC,2920,0.07,3312,0.07,0.88,U,BI
P,3,D62C30,12.365,12.32,12.365,TIC,4939,0.13,7683,0.16,0.64,U,BI
L,4,C18,7.434,7.405,7.455,TIC,3830419,91.06,4532281,93.99,0.85,L,A
L,4,D50C24,9.497,9.475,9.525,TIC,235941,5.61,226597,4.7,1.04,L,A
L,4,D62C30,12.348,12.32,12.365,TIC,140171,3.33,63397,1.31,2.21,L,A
P,4,C18,7.433,7.405,7.455,TIC,4003314,98.37,4724920,98.96,0.85,L,A
P,4,D50C24,9.495,9.475,9.525,TIC,35249,0.87,30471,0.64,1.16,L,A
P,4,D62C30,12.365,12.32,12.365,TIC,31021,0.76,19057,0.4,1.63,L,A
L,5,C18,7.434,7.41,7.455,TIC,3855308,99.83,4675098,99.84,0.82,U,N
L,5,D50C24,9.525,9.475,9.525,TIC,1566,0.04,1797,0.04,0.87,U,N
L,5,D62C30,12.325,12.32,12.365,TIC,4869,0.13,5736,0.12,0.85,U,N
P,5,C18,7.434,7.41,7.455,TIC,3855308,99.83,4675098,99.84,0.82,U,N
P,5,D50C24,9.525,9.475,9.525,TIC,1566,0.04,1797,0.04,0.87,U,N
P,5,D62C30,12.325,12.32,12.365,TIC,4869,0.13,5736,0.12,0.85,U,N
L,6,C18,7.434,7.4,7.45,TIC,3843596,81.52,4663855,86.05,0.82,L,AI
L,6,D50C24,9.497,9.475,9.525,TIC,560293,11.88,606665,11.19,0.92,L,AI
L,6,D62C30,12.349,12.32,12.365,TIC,310848,6.59,149601,2.76,2.08,L,AI
P,6,C18,7.433,7.41,7.45,TIC,4105238,98.82,4806804,99.22,0.85,L,AI
P,6,D50C24,9.495,9.475,9.525,TIC,26410,0.64,19260,0.4,1.37,L,AI
P,6,D62C30,12.365,12.32,12.365,TIC,22484,0.54,18320,0.38,1.23,L,AI
L,7,C18,7.434,7.405,7.45,TIC,4053566,85.18,4872204,88.99,0.83,L,A
L,7,D50C24,9.496,9.475,9.525,TIC,454452,9.55,488003,8.91,0.93,L,A
L,7,D62C30,12.347,12.32,12.365,TIC,250872,5.27,114777,2.1,2.19,L,A
P,7,C18,7.434,7.41,7.455,TIC,4173122,99.23,4950859,99.58,0.84,L,A
P,7,D50C24,9.497,9.475,9.525,TIC,21627,0.51,13971,0.28,1.55,L,A
P,7,D62C30,12.365,12.32,12.365,TIC,10825,0.26,7045,0.14,1.54,L,A
L,8,C18,7.434,7.405,7.455,TIC,3839876,99.68,4826128,99.68,0.8,U,N
L,8,D50C24,9.525,9.475,9.525,TIC,278,0.01,354,0.01,0.79,U,N
L,8,D62C30,12.325,12.32,12.365,TIC,11976,0.31,15271,0.32,0.78,U,N
P,8,C18,7.434,7.4,7.47,TIC,4170526,99.84,5029992,99.83,0.83,U,N
P,8,D50C24,9.525,9.475,9.525,TIC,128,0,155,0,0.83,U,N
P,8,D62C30,12.325,12.32,12.365,TIC,6533,0.16,8545,0.17,0.76,U,N
