#GCMS data for experiment recorded on 191115.,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
#Outlier: include Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y); Beetle chomped (B); ant chomped (A); normal run (N),,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.438,7.41,7.465,TIC,11529809,79.56,9562094,81.82,1.21,L,N
L,1,D50C24,9.502,9.475,9.525,TIC,1316613,9.09,1238108,10.59,1.06,L,N
L,1,D62C30,12.357,12.335,12.38,TIC,1645154,11.35,886888,7.59,1.85,L,N
D,1,C18,7.438,7.41,7.47,TIC,11582231,96.55,9566432,96.81,1.21,L,N
D,1,D50C24,9.503,9.475,9.525,TIC,243708,2.03,222714,2.25,1.09,L,N
D,1,D62C30,12.38,12.335,12.38,TIC,170758,1.42,92682,0.94,1.84,L,N
L,2,C18,7.438,7.41,7.46,TIC,11679560,99.33,9545085,99.29,1.22,U,N
L,2,D50C24,9.48,9.475,9.525,TIC,4235,0.04,2913,0.03,1.45,U,N
L,2,D62C30,12.38,12.335,12.38,TIC,75089,0.64,65786,0.68,1.14,U,N
D,2,C18,7.438,7.405,7.495,TIC,11571655,99.29,9580170,99.31,1.21,U,N
D,2,D50C24,9.525,9.475,9.525,TIC,8059,0.07,6095,0.06,1.32,U,N
D,2,D62C30,12.38,12.335,12.38,TIC,74422,0.64,60917,0.63,1.22,U,N
L,3,C18,7.439,7.405,7.495,TIC,11738942,99.01,9593925,98.91,1.22,U,N
L,3,D50C24,9.48,9.475,9.525,TIC,6067,0.05,10275,0.11,0.59,U,N
L,3,D62C30,12.34,12.335,12.38,TIC,111283,0.94,95714,0.99,1.16,U,N
D,3,C18,7.438,7.405,7.495,TIC,11647726,99.6,9574413,99.56,1.22,U,N
D,3,D50C24,9.525,9.475,9.525,TIC,16598,0.14,13171,0.14,1.26,U,N
D,3,D62C30,12.38,12.335,12.38,TIC,30232,0.26,29022,0.3,1.04,U,N
L,4,C18,7.438,7.405,7.49,TIC,11541151,74.32,9598580,75.97,1.2,L,N
L,4,D50C24,9.502,9.475,9.525,TIC,2063840,13.29,2017367,15.97,1.02,L,N
L,4,D62C30,12.357,12.335,12.38,TIC,1924602,12.39,1019426,8.07,1.89,L,N
D,4,C18,7.438,7.405,7.495,TIC,11483331,98.64,9591192,98.79,1.2,L,N
D,4,D50C24,9.504,9.475,9.525,TIC,87895,0.75,71839,0.74,1.22,L,N
D,4,D62C30,12.38,12.335,12.38,TIC,70931,0.61,45353,0.47,1.56,L,N
L,5,C18,7.44,7.4,7.485,TIC,11823296,99.1,9559470,99.1,1.24,U,N
L,5,D50C24,9.48,9.475,9.525,TIC,15689,0.13,11803,0.12,1.33,U,N
L,5,D62C30,12.38,12.335,12.38,TIC,91245,0.76,75153,0.78,1.21,U,N
D,5,C18,7.439,7.405,7.5,TIC,11848724,99.15,9578504,98.98,1.24,U,N
D,5,D50C24,9.525,9.475,9.525,TIC,15629,0.13,16530,0.17,0.95,U,N
D,5,D62C30,12.38,12.335,12.38,TIC,85472,0.72,82328,0.85,1.04,U,N
L,6,C18,7.438,7.405,7.495,TIC,11328732,50.73,9562538,54.48,1.18,U,N
L,6,D50C24,9.503,9.475,9.525,TIC,4584137,20.53,4518142,25.74,1.01,L,N
L,6,D62C30,12.358,12.335,12.38,TIC,6419163,28.74,3472661,19.78,1.85,L,N
D,6,C18,7.439,7.405,7.495,TIC,11235823,98.92,9606294,99.1,1.17,L,N
D,6,D50C24,9.502,9.475,9.525,TIC,28171,0.25,19162,0.2,1.47,L,N
D,6,D62C30,12.38,12.335,12.38,TIC,94536,0.83,67930,0.7,1.39,L,N
L,7,C18,7.439,7.405,7.495,TIC,11340100,78.73,9590530,81.2,1.18,L,N
L,7,D50C24,9.503,9.475,9.525,TIC,1336242,9.28,1301939,11.02,1.03,L,N
L,7,D62C30,12.358,12.335,12.38,TIC,1728037,12,918877,7.78,1.88,L,N
D,7,C18,7.438,7.405,7.555,TIC,11481167,99.39,9603885,99.47,1.2,L,N
D,7,D50C24,9.504,9.475,9.525,TIC,11611,0.1,6599,0.07,1.76,L,N
D,7,D62C30,12.375,12.335,12.375,TIC,58554,0.51,44789,0.46,1.31,L,N
L,8,C18,7.439,7.405,7.495,TIC,11450441,99.69,9595576,99.64,1.19,U,N
L,8,D50C24,9.48,9.475,9.525,TIC,1020,0.01,2002,0.02,0.51,U,N
L,8,D62C30,12.38,12.335,12.38,TIC,34904,0.3,33043,0.34,1.06,U,N
D,8,C18,7.439,7.405,7.5,TIC,11443903,99.74,9614537,99.71,1.19,U,N
D,8,D50C24,9.525,9.475,9.525,TIC,3225,0.03,3986,0.04,0.81,U,N
D,8,D62C30,12.38,12.335,12.38,TIC,26344,0.23,24262,0.25,1.09,U,N
