#GCMS data for experiment recorded on 191008,,,,,,,,,,,,,
#Type refers to deuterium labelled ants (L) vs unlabelled ants (U),,,,,,,,,,,,,
"#Outlier: Beetle or ant crushed/Beetle or ant escaped from well/Ant not coated in any CHCs (Y), Beetle chomped (B), ant chomped (A), ant injured from the beginning(I) , normal run (N)",,,,,,,,,,,,,
Species,WellNumber,Peak ID,Ret Time,Start Tm,End Tm,m/z,Area,Area Percent,Height,Height Percent,A/H,Type,Outlier
L,1,C18,7.436,7.405,7.46,TIC,6058615,99.46,5983240,99.52,1.01,U,N
L,1,D50C24,9.525,9.475,9.525,TIC,492,0.01,221,0,2.23,U,N
L,1,D62C30,12.385,12.34,12.385,TIC,32275,0.53,28505,0.47,1.13,U,N
P,1,C18,7.436,7.405,7.455,TIC,6082269,99.76,6249001,99.68,0.97,U,N
P,1,D50C24,9.525,9.475,9.525,TIC,2079,0.03,2013,0.03,1.03,U,N
P,1,D62C30,12.375,12.33,12.375,TIC,12755,0.21,17862,0.28,0.71,U,N
L,2,C18,7.435,7.405,7.455,TIC,6171670,75.24,6281039,77.36,0.98,L,N
L,2,D50C24,9.5,9.475,9.525,TIC,1398231,17.05,1495037,18.41,0.94,L,N
L,2,D62C30,12.353,12.33,12.38,TIC,632612,7.71,343331,4.23,1.84,L,N
P,2,C18,7.435,7.405,7.46,TIC,5925371,99.26,6095483,99.36,0.97,L,N
P,2,D50C24,9.5,9.475,9.525,TIC,25232,0.42,24822,0.4,1.02,L,N
P,2,D62C30,12.375,12.33,12.375,TIC,19224,0.32,14544,0.24,1.32,L,N
L,3,C18,7.44,7.405,7.46,TIC,6407255,72.29,6381551,74.6,1,L,N
L,3,D50C24,9.504,9.475,9.525,TIC,1581846,17.85,1695794,19.82,0.93,L,N
L,3,D62C30,12.364,12.34,12.385,TIC,874599,9.87,477467,5.58,1.83,L,N
P,3,C18,7.439,7.41,7.465,TIC,6242066,99.06,6321337,99.11,0.99,L,N
P,3,D50C24,9.504,9.475,9.525,TIC,22757,0.36,22456,0.35,1.01,L,N
P,3,D62C30,12.385,12.34,12.385,TIC,36434,0.58,34047,0.53,1.07,L,N
L,4,C18,7.44,7.41,7.465,TIC,6293243,99.77,6328267,99.8,0.99,U,N
L,4,D50C24,9.48,9.475,9.525,TIC,3216,0.05,1517,0.02,2.12,U,N
L,4,D62C30,12.385,12.34,12.385,TIC,11251,0.18,11458,0.18,0.98,U,N
P,4,C18,7.439,7.41,7.465,TIC,6197195,99.75,6077625,99.65,1.02,U,N
P,4,D50C24,9.48,9.475,9.525,TIC,639,0.01,320,0.01,2,U,N
P,4,D62C30,12.385,12.34,12.385,TIC,14760,0.24,20968,0.34,0.7,U,N
L,5,C18,7.44,7.41,7.46,TIC,6248901,68.96,6190344,71.7,1.01,L,N
L,5,D50C24,9.505,9.475,9.525,TIC,1440832,15.9,1661216,19.24,0.87,L,N
L,5,D62C30,12.364,12.34,12.385,TIC,1371511,15.14,781729,9.05,1.75,L,N
P,5,C18,7.439,7.41,7.465,TIC,6163751,99.51,6150208,99.43,1,L,N
P,5,D50C24,9.502,9.475,9.525,TIC,6166,0.1,5401,0.09,1.14,L,N
P,5,D62C30,12.385,12.34,12.385,TIC,24303,0.39,29935,0.48,0.81,L,N
L,6,C18,7.439,7.41,7.465,TIC,6213273,99.87,6143575,99.87,1.01,U,N
L,6,D50C24,9.48,9.475,9.525,TIC,991,0.02,509,0.01,1.95,U,N
L,6,D62C30,12.385,12.34,12.385,TIC,6816,0.11,7568,0.12,0.9,U,N
P,6,C18,7.439,7.41,7.46,TIC,6001835,99.74,6185100,99.65,0.97,U,N
P,6,D50C24,9.48,9.475,9.525,TIC,204,0,109,0,1.87,U,N
P,6,D62C30,12.385,12.34,12.385,TIC,15735,0.26,21391,0.34,0.74,U,N
L,7,C18,7.439,7.41,7.46,TIC,6224321,99.71,6038558,99.67,1.03,U,N
L,7,D50C24,9.48,9.475,9.525,TIC,4169,0.07,3266,0.05,1.28,U,N
L,7,D62C30,12.34,12.335,12.375,TIC,13744,0.22,16840,0.28,0.82,U,N
P,7,C18,7.44,7.41,7.46,TIC,6246146,99.58,6214485,99.39,1.01,U,N
P,7,D50C24,9.48,9.475,9.525,TIC,731,0.01,479,0.01,1.53,U,N
P,7,D62C30,12.385,12.34,12.385,TIC,25740,0.41,37848,0.61,0.68,U,N
L,8,C18,7.439,7.405,7.47,TIC,6367429,45.88,6331564,48.91,1.01,L,N
L,8,D50C24,9.504,9.475,9.525,TIC,4465451,32.18,4776563,36.89,0.93,L,N
L,8,D62C30,12.363,12.34,12.385,TIC,3044084,21.94,1838479,14.2,1.66,L,N
P,8,C18,7.439,7.41,7.46,TIC,6233002,97.86,6264622,98.27,0.99,L,N
P,8,D50C24,9.503,9.475,9.525,TIC,84144,1.32,80338,1.26,1.05,L,N
P,8,D62C30,12.385,12.34,12.385,TIC,51839,0.81,29791,0.47,1.74,L,N
