#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,534,269,1,191115
2,374,554,1,191115
3,211,273,1,191115
4,542,264,2,191115
5,376,547,2,191115
6,213,265,2,191115
7,533,265,3,191115
8,372,544,3,191115
9,205,264,3,191115
10,542,277,4,191115
11,378,562,4,191115
12,212,278,4,191115
13,538,277,5,191115
14,372,563,5,191115
15,207,276,5,191115
16,538,293,6,191115
17,380,574,6,191115
18,211,291,6,191115
19,541,292,7,191115
20,377,577,7,191115
21,211,290,7,191115
22,535,290,8,191115
23,368,573,8,191115
24,204,292,8,191115
