#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,530,260,1,191008
2,362,547,1,191008
3,205,267,1,191008
4,532,257,2,191008
5,366,543,2,191008
6,199,259,2,191008
7,531,259,3,191008
8,368,546,3,191008
9,200,261,3,191008
10,529,265,4,191008
11,364,555,4,191008
12,195,266,4,191008
13,534,263,5,191008
14,367,551,5,191008
15,197,263,5,191008
16,527,274,6,191008
17,369,556,6,191008
18,202,272,6,191008
19,531,277,7,191008
20,367,561,7,191008
21,201,275,7,191008
22,534,272,8,191008
23,366,558,8,191008
24,204,275,8,191008
