#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,532,270,1,191012
2,367,554,1,191012
3,208,271,1,191012
4,530,268,2,191012
5,367,556,2,191012
6,201,268,2,191012
7,523,272,3,191012
8,359,553,3,191012
9,194,267,3,191012
10,531,269,5,191012
11,364,553,5,191012
12,203,265,5,191012
13,528,276,7,191012
14,363,560,7,191012
15,199,273,7,191012
16,522,274,8,191012
17,359,558,8,191012
18,193,273,8,191012
