#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,535,254,1,191025
2,369,536,1,191025
3,212,255,1,191025
4,529,260,2,191025
5,363,543,2,191025
6,201,259,2,191025
7,523,274,3,191025
8,363,553,3,191025
9,198,265,3,191025
10,532,268,4,191025
11,362,553,4,191025
12,204,267,4,191025
13,531,267,5,191025
14,361,552,5,191025
15,200,261,5,191025
16,532,268,6,191025
17,368,545,6,191025
18,208,262,6,191025
19,531,271,7,191025
20,363,553,7,191025
21,201,266,7,191025
22,528,277,8,191025
23,360,559,8,191025
24,198,275,8,191025
