#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,536,262,1,191019
2,368,551,1,191019
3,207,268,1,191019
4,531,260,2,191019
5,367,544,2,191019
6,200,260,2,191019
7,526,261,3,191019
8,363,545,3,191019
9,198,258,3,191019
10,531,269,4,191019
11,365,553,4,191019
12,201,268,4,191019
13,530,268,5,191019
14,365,553,5,191019
15,199,270,5,191019
16,534,274,6,191019
17,374,553,6,191019
18,209,273,6,191019
19,532,276,7,191019
20,367,561,7,191019
21,199,273,7,191019
22,525,271,8,191019
23,360,557,8,191019
24,193,271,8,191019
