#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,536,250,1,191022
2,367,533,1,191022
3,208,250,1,191022
4,534,254,2,191022
5,367,537,2,191022
6,203,252,2,191022
7,524,261,3,191022
8,367,541,3,191022
9,198,256,3,191022
10,532,271,4,191022
11,362,553,4,191022
12,201,267,4,191022
13,532,269,5,191022
14,365,553,5,191022
15,200,268,5,191022
16,531,269,6,191022
17,368,550,6,191022
18,204,266,6,191022
19,531,271,7,191022
20,363,549,7,191022
21,200,264,7,191022
22,525,271,8,191022
23,360,553,8,191022
24,198,270,8,191022
