#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,531,265,1,191016
2,368,551,1,191016
3,207,269,1,191016
4,531,264,2,191016
5,367,547,2,191016
6,200,265,2,191016
7,526,267,3,191016
8,365,552,3,191016
9,197,263,3,191016
10,534,269,4,191016
11,370,553,4,191016
12,204,268,4,191016
13,533,270,5,191016
14,367,553,5,191016
15,205,267,5,191016
16,539,275,6,191016
17,374,555,6,191016
18,210,272,6,191016
19,529,277,7,191016
20,363,559,7,191016
21,197,274,7,191016
22,523,278,8,191016
23,362,559,8,191016
24,195,275,8,191016
