#Well Positions mark the openings of the three antechambers in the behavioral arena,,,,
#The positions start in the upper right chamber followed by the bottom chamber followed by the upper left chamber,,,,
 ,X,Y,WellNum,Date
1,530,268,1,191021
2,365,559,1,191021
3,205,273,1,191021
4,527,260,2,191021
5,364,548,2,191021
6,196,264,2,191021
7,523,261,3,191021
8,364,542,3,191021
9,196,257,3,191021
10,534,270,4,191021
11,368,556,4,191021
12,201,270,4,191021
13,529,269,5,191021
14,363,555,5,191021
15,195,267,5,191021
16,532,281,6,191021
17,372,565,6,191021
18,204,282,6,191021
19,529,276,7,191021
20,366,562,7,191021
21,198,278,7,191021
22,523,269,8,191021
23,360,552,8,191021
24,193,272,8,191021
